ccc_2018-08-31_cccc-1-rapid-rumble-15-5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
ccc_2023-10-26_classical-cup-1-match-11.pgn: Classical Cup #1: Match 11 (30|5)
ccc_2023-10-27_classical-cup-1-match-12.pgn: Classical Cup #1: Match 12 (30|5)
ccc_2023-10-27_classical-cup-1-match-13.pgn: Classical Cup #1: Match 13 (30|5)
ccc_2023-10-28_classical-cup-1-match-14.pgn: Classical Cup #1: Match 14 (30|5)
ccc_2023-10-28_classical-cup-1-match-15.pgn: Classical Cup #1: Match 15 (30|5)
ccc_2023-10-29_rating-brawl-fall-2023.pgn: Rating Brawl: Fall 2023 (1|1)
ccc_2023-11-06_21-bullet-entry-league.pgn: CCC 21 Bullet: Entry League (1|1)
ccc_2023-11-10_21-bullet-qualifier-1.pgn: CCC 21 Bullet: Qualifier #1 (1|1)
ccc_2023-11-15_21-bullet-qualifier-2.pgn: CCC 21 Bullet: Qualifier #2 (1|1)
ccc_2023-11-20_21-bullet-main.pgn: CCC 21 Bullet: Main (1|1)
ccc_2023-11-27_21-bullet-semifinals.pgn: CCC 21 Bullet: Semifinals (1|1)
ccc_2023-12-03_21-bullet-challenger-match.pgn: CCC 21 Bullet: Challenger Match (1|1)
ccc_2023-12-07_21-bullet-finals.pgn: CCC 21 Bullet: Finals (1|1)
ccc_2023-12-12_21-bullet-fight-for-4th.pgn: CCC 21 Bullet: Fight for 4th (1|1)
ccc_2023-12-14_21-bullet-would-be-challenger-match.pgn: CCC 21 Bullet: Would-be Challenger Match (1|1)
ccc_2023-12-17_22-blitz-entry-league.pgn: CCC 22 Blitz: Entry League (3|2)
ccc_2023-12-20_22-blitz-qualifier-1.pgn: CCC 22 Blitz: Qualifier #1 (3|2)
ccc_2023-12-24_22-blitz-qualifier-2.pgn: CCC 22 Blitz: Qualifier #2 (3|2)
ccc_2023-12-27_22-blitz-main.pgn: CCC 22 Blitz: Main (3|2)
ccc_2024-01-02_22-blitz-semifinals.pgn: CCC 22 Blitz: Semifinals (3|2)
ccc_2024-01-09_22-blitz-challenger-match.pgn: CCC 22 Blitz: Challenger Match (3|2)
ccc_2024-01-13_22-blitz-finals.pgn: CCC 22 Blitz: Finals (3|2)
ccc_2024-01-18_22-blitz-alt-finals.pgn: CCC 22 Blitz: Alt Finals (3|2)
ccc_2024-01-22_22-blitz-fight-for-fourth.pgn: CCC 22 Blitz: Fight for Fourth (3|2)
ccc_2024-01-25_22-rapid-entry-league.pgn: CCC 22 Rapid: Entry League (10|3)
ccc_2024-01-30_22-rapid-tiebreaker-1.pgn: CCC 22 Rapid: Tiebreaker #1 (10|3)
ccc_2024-01-31_22-rapid-qualifier-1.pgn: CCC 22 Rapid: Qualifier #1 (10|3)
ccc_2024-02-05_22-rapid-tiebreaker-2.pgn: CCC 22 Rapid: Tiebreaker #2 (10|3)
ccc_2024-02-06_22-rapid-qualifier-2.pgn: CCC 22 Rapid: Qualifier #2 (10|2)
ccc_2024-02-13_22-rapid-main.pgn: CCC 22 Rapid: Main (10|3)
ccc_2024-02-21_22-rapid-semifinals.pgn: CCC 22 Rapid: Semifinals (10|3)
ccc_2024-03-01_22-rapid-fight-for-sixth.pgn: CCC 22 Rapid: Fight For Sixth (10|3)
ccc_2024-03-04_22-rapid-challenger-match.pgn: CCC 22 Rapid: Challenger Match (10|3)
ccc_2024-03-09_22-rapid-finals.pgn: CCC 22 Rapid: Finals (10|3)
ccc_2024-03-14_22-rapid-alt-finals.pgn: CCC 22 Rapid: Alt Finals (10|3)
ccc_2024-03-20_classical-cup-2-match-1.pgn: Classical Cup #2: Match 1 (30|5)
ccc_2024-03-21_classical-cup-2-match-2.pgn: Classical Cup #2: Match 2 (30|5)
ccc_2024-03-22_classical-cup-2-match-3.pgn: Classical Cup #2: Match 3 (30|5)
